raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
175.0000,0.0283,-0.1633,0.9094,-2.2137,-0.0153,-0.0916
145.0000,0.0288,-0.1667,0.8999,-2.1985,-0.1221,-0.0076
190.0000,0.0315,-0.1616,0.9067,-2.1756,0.0840,-0.0382
186.0000,0.0322,-0.1545,0.9094,-2.1374,-0.0382,-0.0687
184.0000,0.0347,-0.1577,0.9033,-2.3282,-0.0076,-0.1603
208.0000,0.0366,-0.1558,0.9084,-2.4809,0.2977,-0.1069
216.0000,0.0322,-0.1567,0.9158,-2.2901,0.0534,-0.0763
188.0000,0.0276,-0.1672,0.8994,-2.0687,-0.1145,-0.1298
212.0000,0.0278,-0.1592,0.9080,-2.1756,-0.0992,0.0992
181.0000,0.0212,-0.1582,0.9075,-2.2824,0.1756,0.2519
185.0000,0.0244,-0.1582,0.9028,-2.0916,-0.0305,0.3511
212.0000,0.0239,-0.1633,0.9141,-1.8855,-0.1603,0.1679
197.0000,0.0239,-0.1611,0.9043,-2.0611,-0.1221,0.6107
219.0000,0.0286,-0.1543,0.9109,-2.2901,-0.0305,0.4046
168.0000,0.0237,-0.1580,0.8918,-2.9160,-0.2137,0.5267
174.0000,0.0239,-0.1658,0.8965,-2.7786,-0.0076,0.6336
223.0000,0.0237,-0.1572,0.9009,-3.2748,-0.0687,0.8702
202.0000,0.0190,-0.1641,0.8875,-3.7634,-0.1908,0.8779
212.0000,0.0166,-0.1702,0.9043,-3.5191,-0.0840,0.6489
216.0000,0.0220,-0.1699,0.8928,-3.3206,-0.5954,0.9237
235.0000,0.0168,-0.1687,0.8999,-3.2901,-0.5725,1.0992
219.0000,0.0317,-0.1680,0.8918,-3.7939,-0.4733,0.6947
215.0000,0.0276,-0.1755,0.8960,-2.9924,-0.8321,0.9237
250.0000,0.0254,-0.1648,0.9087,-3.2290,-0.8702,0.7328
219.0000,0.0215,-0.1702,0.9067,-3.4885,-0.8168,0.7099
223.0000,0.0320,-0.1685,0.9028,-3.8092,-0.2443,0.3282
207.0000,0.0293,-0.1729,0.9021,-3.7405,-0.0153,0.3435
243.0000,0.0305,-0.1711,0.9011,-3.6718,-0.3130,-0.2366
205.0000,0.0313,-0.1804,0.9072,-3.7176,0.3206,-0.3206
262.0000,0.0359,-0.1716,0.8926,-3.3206,0.0840,-0.5954
238.0000,0.0212,-0.1692,0.8992,-3.4122,0.1221,-0.6947
252.0000,0.0334,-0.1702,0.8979,-3.1756,0.4809,-0.6183
221.0000,0.0313,-0.1663,0.9023,-3.2061,0.3359,-0.8702
262.0000,0.0264,-0.1621,0.8982,-3.3130,0.2672,-1.0763
