raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
5.0000,-0.0046,-0.2690,0.8423,-7.5344,0.4427,-0.4885
5.0000,-0.0061,-0.2698,0.8313,-6.5573,0.4733,-0.6336
11.0000,0.0032,-0.2725,0.8433,-5.3588,0.0305,-0.7099
40.0000,-0.0020,-0.2786,0.8523,-4.4046,-0.2519,-0.6336
56.0000,-0.0034,-0.2700,0.8518,-3.1374,-0.2977,-0.7557
78.0000,0.0005,-0.2673,0.8496,-2.0992,-0.0916,-0.8931
90.0000,0.0007,-0.2646,0.8479,-1.9466,0.2366,-0.9542
102.0000,0.0029,-0.2600,0.8459,-2.4351,0.0916,-1.0992
113.0000,0.0029,-0.2622,0.8374,-3.0229,0.2061,-1.2366
125.0000,0.0059,-0.2568,0.8435,-3.5115,0.3893,-1.1985
137.0000,0.0063,-0.2556,0.8472,-4.2824,0.3435,-1.0611
136.0000,0.0044,-0.2512,0.8284,-5.1603,0.3664,-1.2366
147.0000,0.0002,-0.2656,0.8430,-5.2595,0.3053,-1.1908
157.0000,0.0000,-0.2603,0.8457,-4.5191,0.0534,-1.0076
164.0000,0.0049,-0.2620,0.8484,-3.6336,-0.0153,-0.8321
166.0000,-0.0002,-0.2581,0.8572,-2.9389,0.3130,-0.6336
171.0000,-0.0007,-0.2546,0.8560,-2.7252,0.4580,-0.5344
175.0000,0.0071,-0.2588,0.8523,-2.8321,0.3588,-0.5802
184.0000,0.0027,-0.2512,0.8479,-3.2214,0.2214,-0.6336
187.0000,-0.0044,-0.2532,0.8464,-3.6489,0.2214,-0.7939
190.0000,-0.0029,-0.2581,0.8396,-3.9542,0.2366,-0.8321
191.0000,0.0022,-0.2632,0.8418,-3.3206,-0.0153,-0.9542
193.0000,0.0120,-0.2603,0.8477,-2.9542,0.2748,-0.6489
193.0000,0.0000,-0.2634,0.8469,-2.1221,0.0534,-0.9237
200.0000,0.0061,-0.2607,0.8469,-1.8168,0.0840,-0.7939
204.0000,0.0032,-0.2566,0.8477,-1.6794,-0.1298,-0.7252
207.0000,0.0010,-0.2620,0.8455,-1.9542,-0.4351,-0.7710
212.0000,-0.0005,-0.2593,0.8435,-2.6794,-0.6107,-0.6489
206.0000,0.0168,-0.2563,0.8523,-3.7939,-0.5878,-0.8092
213.0000,0.0115,-0.2498,0.8503,-4.4351,-0.3435,-0.5802
213.0000,0.0061,-0.2573,0.8469,-4.9771,-0.1527,-0.9389
222.0000,0.0059,-0.2576,0.8477,-5.0687,0.0305,-0.8626
219.0000,0.0200,-0.2520,0.8418,-5.0611,0.2901,-0.7557
222.0000,0.0142,-0.2573,0.8420,-4.6947,0.3740,-0.8321
226.0000,0.0042,-0.2607,0.8350,-4.4275,0.1756,-0.6641
230.0000,0.0100,-0.2603,0.8425,-4.4504,0.4198,-0.8092
233.0000,0.0029,-0.2527,0.8437,-4.2595,0.3053,-0.5802
234.0000,0.0002,-0.2595,0.8340,-4.3359,0.1985,-0.6718
232.0000,0.0015,-0.2595,0.8425,-4.6183,0.4351,-0.4046
232.0000,0.0042,-0.2542,0.8474,-5.1527,0.3664,-0.3893
236.0000,0.0061,-0.2615,0.8350,-5.8473,0.1221,-0.3969
240.0000,0.0088,-0.2554,0.8511,-6.0153,0.3282,-0.5725
241.0000,0.0039,-0.2605,0.8457,-6.1985,0.2672,-0.4504
242.0000,0.0007,-0.2583,0.8489,-6.6794,0.5573,-0.3740
248.0000,0.0100,-0.2515,0.8408,-7.6947,0.3740,-0.1145
237.0000,0.0085,-0.2566,0.8503,-9.4733,0.5496,-0.3282
249.0000,0.0081,-0.2461,0.8606,-12.0916,0.4580,-0.6489
250.0000,0.0171,-0.2341,0.8589,-15.7405,1.2443,-0.9542
252.0000,0.0046,-0.2219,0.8613,-20.8550,2.3435,-1.5038
258.0000,0.0071,-0.2205,0.8513,-26.6794,2.7176,-2.5267
252.0000,0.0046,-0.2236,0.8413,-32.5954,2.8015,-2.9695
240.0000,-0.0017,-0.2332,0.8372,-38.3588,3.0305,-3.4656
256.0000,-0.0042,-0.2456,0.8328,-43.4198,2.9542,-3.9847
258.0000,-0.0098,-0.2605,0.8257,-47.9237,2.4733,-4.3740
276.0000,-0.0027,-0.2629,0.8254,-51.8397,1.8473,-5.0000
261.0000,-0.0056,-0.2717,0.8347,-56.1145,0.8092,-5.4962
249.0000,-0.0042,-0.2793,0.8396,-60.1221,0.7634,-6.1298
266.0000,-0.0081,-0.2754,0.8430,-65.0076,0.1908,-6.5954
265.0000,-0.0034,-0.2883,0.8411,-71.2519,-0.0076,-7.1832
271.0000,-0.0017,-0.2783,0.8215,-78.4046,-0.2290,-7.5496
284.0000,0.0042,-0.2849,0.8333,-85.8321,-0.3588,-8.4580
283.0000,0.0151,-0.2937,0.8179,-93.2901,-0.3130,-8.9542
268.0000,0.0078,-0.2971,0.7935,-101.6565,0.1069,-9.6870
274.0000,0.0156,-0.3042,0.7769,-108.3511,0.3359,-10.9237
282.0000,0.0159,-0.3318,0.7849,-117.1221,1.1756,-11.8855
274.0000,0.0166,-0.3591,0.7874,-122.5191,1.7099,-12.4351
260.0000,0.0122,-0.3735,0.7644,-126.7252,2.3893,-12.7786
299.0000,0.0251,-0.3823,0.7554,-130.9466,3.1908,-13.6107
284.0000,0.0100,-0.4053,0.7515,-134.3435,3.6489,-14.1756
281.0000,0.0176,-0.4146,0.7502,-136.6488,3.1832,-14.4580
259.0000,0.0156,-0.4380,0.7507,-138.8092,3.5649,-14.5573
287.0000,0.0112,-0.4412,0.7537,-141.6717,4.1603,-14.2901
290.0000,0.0076,-0.4395,0.7397,-145.7099,5.0611,-14.2595
294.0000,0.0054,-0.4514,0.7432,-151.2977,5.5725,-14.0916
299.0000,-0.0015,-0.4666,0.7424,-157.2519,6.0458,-14.0458
281.0000,0.0081,-0.4771,0.7393,-163.6260,6.0229,-13.9466
277.0000,0.0020,-0.4849,0.7297,-169.8397,7.5344,-13.5649
292.0000,-0.0137,-0.5078,0.7144,-176.0382,8.0229,-13.8092
294.0000,-0.0110,-0.5247,0.7017,-182.8397,7.7023,-14.0687
295.0000,-0.0154,-0.5413,0.6846,-188.7710,7.0000,-14.5115
315.0000,-0.0090,-0.5779,0.6604,-194.0458,6.3435,-15.3893
330.0000,-0.0144,-0.6133,0.6580,-197.1908,5.5344,-16.1374
299.0000,-0.0259,-0.6484,0.6509,-198.6565,5.3053,-16.2061
299.0000,-0.0208,-0.7014,0.6245,-197.7481,4.4809,-16.2061
271.0000,-0.0161,-0.7170,0.6274,-195.4427,2.9847,-15.7710
309.0000,-0.0078,-0.7280,0.6108,-192.2901,1.6107,-15.3359
303.0000,0.0007,-0.7480,0.5962,-188.6717,0.8092,-15.1298
293.0000,-0.0056,-0.7639,0.5806,-184.9695,0.0153,-14.8244
315.0000,0.0144,-0.7605,0.5659,-181.8626,-0.5573,-14.6489
281.0000,0.0242,-0.7598,0.5583,-180.5878,0.2290,-14.5878
329.0000,0.0261,-0.7476,0.5266,-180.4504,1.3740,-14.8931
