raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
62.0000,0.1816,-0.2495,-1.1384,-0.9084,1.2290,0.7328
7.0000,0.1750,-0.2598,-1.1213,-0.8321,1.5496,0.6260
193.0000,0.1748,-0.2703,-1.1296,-0.6718,1.1145,0.5649
212.0000,0.1714,-0.2666,-1.1357,-0.5191,0.6794,0.5878
7.0000,0.1833,-0.2627,-1.1235,-0.6336,0.8855,0.8550
169.0000,0.1741,-0.2642,-1.1304,-0.3664,1.2977,0.8550
280.0000,0.1721,-0.2686,-1.1284,-0.3359,1.5878,0.8397
22.0000,0.1731,-0.2676,-1.1160,-0.3511,0.8550,0.8702
181.0000,0.1775,-0.2695,-1.1255,-0.0382,1.0763,0.5878
404.0000,0.1807,-0.2700,-1.1272,0.3664,0.6947,0.8092
51.0000,0.1738,-0.2673,-1.1145,0.0229,0.3664,0.7023
181.0000,0.1702,-0.2683,-1.1201,-0.2901,0.1603,0.6947
421.0000,0.1833,-0.2632,-1.1125,-0.4809,0.0229,0.6565
100.0000,0.1729,-0.2598,-1.1121,-0.5725,0.0687,0.1527
179.0000,0.1694,-0.2727,-1.1162,-0.6412,0.1908,0.0076
351.0000,0.1741,-0.2688,-1.1152,-0.7099,-0.4656,-0.0076
145.0000,0.1738,-0.2625,-1.1130,-0.8626,-0.3130,-0.2290
182.0000,0.1611,-0.2703,-1.1084,-1.3435,-0.0458,-0.1527
310.0000,0.1719,-0.2754,-1.1191,-1.4275,-0.1145,-0.2672
164.0000,0.1687,-0.2761,-1.1055,-2.1908,-0.2366,-0.6947
178.0000,0.1765,-0.2756,-1.1145,-1.9542,-0.6565,-0.5496
277.0000,0.1694,-0.2729,-1.1121,-1.8092,-0.7481,-0.3588
168.0000,0.1694,-0.2813,-1.1118,-1.0840,-1.2443,-0.1985
182.0000,0.1687,-0.2754,-1.1089,-0.6412,-1.2443,-0.1069
241.0000,0.1719,-0.2661,-1.1123,-0.7176,-1.7176,-0.0992
184.0000,0.1707,-0.2666,-1.1064,-0.8550,-1.9160,0.1832
188.0000,0.1648,-0.2603,-1.1167,-1.3206,-1.6489,0.1603
229.0000,0.1631,-0.2603,-1.1191,-2.5420,-1.8550,0.2214
200.0000,0.1658,-0.2617,-1.1167,-3.3435,-1.8397,0.2214
186.0000,0.1636,-0.2725,-1.1094,-3.8855,-1.4427,0.0992
213.0000,0.1663,-0.2683,-1.1138,-4.1527,-1.3740,0.1221
224.0000,0.1641,-0.2783,-1.1152,-4.0611,-1.4656,-0.0458
203.0000,0.1621,-0.2837,-1.1152,-3.4198,-1.1450,0.1298
204.0000,0.1697,-0.2830,-1.1111,-3.2061,-1.0687,0.0534
235.0000,0.1675,-0.2732,-1.1265,-2.0687,-1.1298,-0.1985
220.0000,0.1743,-0.2754,-1.1282,-1.6794,-1.2977,-0.1145
233.0000,0.1743,-0.2786,-1.1160,-1.3053,-1.0229,-0.2443
251.0000,0.1643,-0.2664,-1.1177,-1.1298,-1.5725,-0.2672
217.0000,0.1672,-0.2788,-1.1089,-0.0763,-0.9924,0.0840
237.0000,0.1611,-0.2761,-1.1138,0.2595,-0.8779,0.2061
271.0000,0.1660,-0.2783,-1.1177,1.1527,-0.8015,0.4122
236.0000,0.1631,-0.2854,-1.1172,2.6718,-0.8855,0.9160
239.0000,0.1726,-0.2856,-1.1270,3.6565,0.1298,1.4198
282.0000,0.1638,-0.2847,-1.1079,7.1374,3.8092,2.0305
247.0000,0.1130,-0.2998,-1.1272,13.6718,9.2290,2.6183
247.0000,0.1436,-0.2605,-1.1340,12.5038,-1.3130,2.5267
295.0000,0.1968,-0.2876,-1.1072,16.8397,2.0458,1.7176
252.0000,0.1931,-0.3262,-1.1265,25.6947,8.0534,2.7252
243.0000,0.2012,-0.2805,-1.1365,29.2443,7.6718,3.1450
