raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
110.0000,-0.2141,-0.2830,0.8281,-2.8092,7.7939,2.2748
111.0000,-0.2073,-0.2751,0.8362,-4.8015,8.1908,2.0611
139.0000,-0.2073,-0.2781,0.8445,-5.4885,8.4962,1.6870
134.0000,-0.2158,-0.2864,0.8376,-6.0076,8.2977,1.4046
160.0000,-0.2087,-0.2874,0.8442,-5.5191,8.2977,1.2366
155.0000,-0.2085,-0.2849,0.8462,-4.5725,8.9008,1.5573
156.0000,-0.2087,-0.2825,0.8359,-3.7099,8.8931,1.7099
158.0000,-0.2124,-0.2808,0.8335,-3.1832,9.3206,1.7252
179.0000,-0.2026,-0.2761,0.8264,-3.4733,9.5344,2.1527
170.0000,-0.2107,-0.2766,0.8125,-2.8015,9.7786,1.9695
170.0000,-0.2083,-0.2776,0.8152,-1.8473,10.0534,1.9237
202.0000,-0.2131,-0.2773,0.8220,-1.5267,9.7023,1.9771
190.0000,-0.2034,-0.2720,0.8103,-1.6183,10.1374,1.9160
191.0000,-0.2078,-0.2727,0.8186,-1.8244,10.9084,1.7328
209.0000,-0.2004,-0.2661,0.8171,-1.6489,11.7176,1.7023
212.0000,-0.2061,-0.2632,0.8218,-1.5115,12.0305,1.8397
203.0000,-0.2166,-0.2734,0.8228,-1.0076,12.5649,2.1450
217.0000,-0.2126,-0.2664,0.8313,0.2519,13.2672,2.3435
223.0000,-0.2053,-0.2644,0.8186,-0.0305,13.9466,2.5496
210.0000,-0.2046,-0.2585,0.8220,0.2214,14.7252,2.5573
224.0000,-0.2090,-0.2656,0.8186,-0.2748,15.5725,3.0076
242.0000,-0.2058,-0.2700,0.8271,-0.3740,15.8397,3.0534
216.0000,-0.2168,-0.2805,0.8337,0.6031,16.7023,3.6107
230.0000,-0.2119,-0.2756,0.8257,1.7099,17.2366,3.6031
228.0000,-0.2097,-0.2847,0.8420,2.5954,17.5496,4.1832
229.0000,-0.2131,-0.2837,0.8638,2.2901,17.4198,4.0000
240.0000,-0.2080,-0.2559,0.8435,2.2901,17.3206,4.0916
235.0000,-0.2295,-0.2712,0.8750,-0.0382,16.4504,3.5191
240.0000,-0.2329,-0.2839,0.8823,-3.6794,14.8321,2.8779
234.0000,-0.2271,-0.2754,0.8823,-6.0916,14.0382,2.4656
266.0000,-0.2356,-0.2795,0.8936,-7.8397,12.4275,1.4046
243.0000,-0.2500,-0.2881,0.8984,-10.4122,9.7481,0.7710
247.0000,-0.2466,-0.3062,0.9214,-11.4351,9.1298,0.4580
259.0000,-0.2444,-0.3064,0.9089,-9.7176,9.7710,0.9160
248.0000,-0.2388,-0.3069,0.8940,-6.7557,10.0229,2.0229
249.0000,-0.2288,-0.2800,0.8660,-3.9084,10.8244,3.1374
267.0000,-0.2244,-0.2822,0.8425,-1.6336,11.8168,4.2595
235.0000,-0.2129,-0.2554,0.8000,-1.9847,13.3664,5.1908
252.0000,-0.1919,-0.2432,0.7688,-6.1756,17.2290,6.1069
294.0000,-0.1968,-0.2400,0.7651,-6.3664,17.2672,5.6947
279.0000,-0.1855,-0.2415,0.7625,-13.9389,20.5878,6.1374
229.0000,-0.1897,-0.2463,0.7642,-22.2748,24.8168,7.7481
275.0000,-0.1775,-0.2356,0.7822,-30.1450,26.4198,10.3359
272.0000,-0.1929,-0.2334,0.7341,-33.7481,26.1374,12.6565
268.0000,-0.1880,-0.2080,0.7310,-30.8015,22.3206,14.8244
272.0000,-0.1931,-0.2212,0.7480,-33.6107,17.4656,15.3969
309.0000,-0.1951,-0.2939,0.8167,-36.6794,13.3817,14.7939
274.0000,-0.1897,-0.4016,0.9087,-35.0763,13.3740,16.8473
291.0000,-0.1892,-0.4727,1.0388,-28.8397,12.5344,19.8626
298.0000,-0.1904,-0.5059,1.1301,-13.7099,10.5267,24.0534
293.0000,-0.1792,-0.5000,1.1633,7.0305,7.3053,28.7710
326.0000,-0.1953,-0.4658,1.1738,24.2672,1.7557,32.6031
273.0000,-0.1851,-0.3665,1.1643,31.0687,-2.4122,33.5115
323.0000,-0.2219,-0.3123,1.1580,32.9313,-9.8702,32.0763
257.0000,-0.2422,-0.2307,1.1628,18.8702,-21.6641,23.3740
353.0000,-0.1799,-0.2175,1.1919,-4.6412,-32.2901,8.5802
341.0000,-0.2710,-0.2625,1.2305,-31.7405,-40.0382,-0.7176
299.0000,-0.4060,-0.3406,1.2913,-61.8931,-47.1221,-10.1985
260.0000,-0.5085,-0.4133,1.3369,-84.4504,-55.6794,-19.0000
338.0000,-0.5664,-0.4497,1.3406,-97.3130,-64.9466,-23.4046
365.0000,-0.6035,-0.4783,1.3523,-107.4122,-69.6947,-26.4198
284.0000,-0.6519,-0.5637,1.3306,-102.0611,-82.5267,-31.1985
289.0000,-0.6643,-0.5842,1.3105,-96.7252,-96.3664,-34.1908
382.0000,-0.5989,-0.5667,1.3174,-87.2137,-103.6947,-37.2977
384.0000,-0.5815,-0.5979,1.3252,-70.5420,-112.4428,-39.7939
285.0000,-0.5691,-0.5859,1.3240,-58.4885,-121.9542,-40.5344
321.0000,-0.5437,-0.5601,1.3308,-42.5115,-131.0992,-42.1908
339.0000,-0.5264,-0.5256,1.3247,-28.0153,-138.8931,-44.7405
377.0000,-0.5156,-0.5115,1.3013,-17.0763,-146.9847,-47.1756
324.0000,-0.5115,-0.5291,1.2881,-9.1756,-154.8244,-50.4198
143.0000,-0.4968,-0.5347,1.2512,-3.7099,-161.9237,-53.8321
528.0000,-0.4917,-0.5137,1.1953,1.2519,-167.9924,-56.1069
380.0000,-0.4858,-0.4880,1.1423,2.7710,-174.2595,-58.2748
304.0000,-0.4785,-0.4788,1.1301,0.4198,-181.1221,-61.4809
303.0000,-0.4590,-0.4478,1.1140,-1.9847,-188.0687,-63.4504
474.0000,-0.4138,-0.4043,1.0562,-5.0000,-194.3664,-64.0305
321.0000,-0.4009,-0.3904,1.0845,-9.7099,-199.5878,-66.9542
291.0000,-0.3845,-0.4109,1.0571,-14.3969,-204.5802,-70.9847
433.0000,-0.3691,-0.3923,1.0466,-4.9160,-213.1527,-73.2214
331.0000,-0.3496,-0.4480,0.9985,-15.9695,-215.6717,-71.8092
292.0000,-0.3462,-0.3850,1.0508,-18.1069,-219.7176,-74.7023
374.0000,-0.2913,-0.3938,0.9370,-19.3511,-221.9695,-74.4504
385.0000,-0.2605,-0.3684,0.8684,-22.8244,-223.8702,-75.1832
350.0000,-0.2563,-0.3821,0.8733,-24.2061,-230.2519,-76.9847
294.0000,-0.1880,-0.3286,0.8342,-32.7405,-232.0916,-78.1298
446.0000,-0.1309,-0.3057,0.7896,-33.7176,-231.7252,-78.8855
325.0000,-0.1187,-0.3850,0.7717,-34.3282,-232.7633,-80.1527
311.0000,-0.1094,-0.3650,0.8159,-41.2214,-233.1985,-82.0687
353.0000,-0.0493,-0.3501,0.7700,-32.9847,-233.6107,-82.2901
419.0000,-0.0210,-0.3538,0.7249,-23.7405,-232.5954,-80.1450
343.0000,-0.0381,-0.3479,0.7705,-12.6183,-235.5496,-81.6031
347.0000,0.0193,-0.3557,0.6472,-3.0076,-238.9847,-80.2901
379.0000,0.0925,-0.3308,0.5583,4.9847,-240.9008,-78.1908
358.0000,0.1460,-0.2808,0.5774,4.5878,-236.2901,-78.6794
327.0000,0.1611,-0.2961,0.5156,0.9466,-236.5954,-80.5802
279.0000,0.1816,-0.2283,0.4688,-4.0382,-239.7176,-80.7176
620.0000,0.2314,-0.2517,0.4536,-19.6489,-235.3053,-80.9695
284.0000,0.2214,-0.2908,0.5134,-42.6641,-229.3588,-82.9160
432.0000,0.2649,-0.2754,0.5029,-49.2595,-224.4504,-82.9466
356.0000,0.3098,-0.2710,0.4536,-45.9847,-216.9924,-81.8321
372.0000,0.2898,-0.3098,0.4587,-37.0916,-216.0076,-81.7023
267.0000,0.3230,-0.2876,0.4165,-25.2672,-218.5802,-80.9695
561.0000,0.3740,-0.2791,0.3374,-16.3359,-217.1374,-79.2137
350.0000,0.3958,-0.2874,0.4160,-9.0229,-212.6336,-79.2901
360.0000,0.4028,-0.3145,0.3674,-8.2366,-211.6717,-78.4198
