raw_emg,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz
191.0000,0.2527,-0.0288,-1.1321,-1.7710,-0.4275,0.2061
193.0000,0.2520,-0.0234,-1.1172,-1.7252,-0.1374,0.0076
196.0000,0.2493,-0.0217,-1.1196,-1.7405,0.4046,-0.3664
187.0000,0.2410,-0.0203,-1.1116,-1.7634,0.3893,-0.5496
189.0000,0.2388,-0.0132,-1.1299,-2.2061,0.2290,-0.9237
189.0000,0.2485,-0.0083,-1.1218,-2.5649,-0.2137,-0.9008
194.0000,0.2507,-0.0132,-1.1248,-3.1985,-1.0153,-1.0076
196.0000,0.2461,-0.0105,-1.1248,-3.2519,-1.5420,-1.0458
191.0000,0.2441,-0.0090,-1.1228,-3.0687,-1.7939,-1.2137
201.0000,0.2507,-0.0142,-1.1255,-2.5267,-1.7328,-1.6412
202.0000,0.2458,-0.0110,-1.1143,-1.5725,-1.0840,-2.0076
208.0000,0.2456,-0.0156,-1.1216,-0.8931,-0.3511,-2.1298
206.0000,0.2363,-0.0156,-1.1311,-1.0611,-0.6107,-2.2214
201.0000,0.2412,-0.0227,-1.1497,-1.9618,-0.9389,-2.3282
206.0000,0.2410,-0.0161,-1.1423,-3.3282,-1.6260,-2.4351
211.0000,0.2400,-0.0200,-1.1475,-4.7405,-1.8015,-2.2748
204.0000,0.2363,-0.0186,-1.1431,-6.0611,-1.8702,-1.9542
212.0000,0.2224,-0.0193,-1.1455,-6.9847,-2.1145,-1.8855
213.0000,0.2305,-0.0137,-1.1384,-7.4962,-2.3664,-1.8550
216.0000,0.2305,-0.0107,-1.1453,-6.4733,-2.7481,-1.7405
212.0000,0.2307,-0.0042,-1.1404,-4.8168,-2.9160,-1.6107
220.0000,0.2268,-0.0005,-1.1453,-3.2443,-3.2977,-1.6412
208.0000,0.2312,0.0054,-1.1460,-2.6870,-3.3435,-1.5954
216.0000,0.2366,-0.0005,-1.1531,-3.0763,-3.0992,-1.5954
220.0000,0.2300,-0.0005,-1.1509,-3.8626,-2.6489,-1.1603
216.0000,0.2180,-0.0042,-1.1494,-4.6947,-2.0840,-0.7786
234.0000,0.2170,0.0042,-1.1431,-6.0076,-2.0305,-0.3893
229.0000,0.2178,0.0046,-1.1487,-7.1832,-2.2672,-0.1679
232.0000,0.2114,0.0083,-1.1553,-7.8931,-2.4198,0.1756
242.0000,0.2102,0.0046,-1.1548,-8.2061,-2.0076,0.3588
239.0000,0.2122,0.0105,-1.1609,-7.7099,-1.8092,0.8931
237.0000,0.2197,0.0146,-1.1370,-7.1756,-1.8855,1.7176
242.0000,0.2246,0.0168,-1.1411,-6.4351,-1.7786,2.0916
253.0000,0.2256,0.0149,-1.1465,-5.8473,-1.8397,2.5802
234.0000,0.2278,0.0178,-1.1399,-6.1679,-1.6489,3.0687
246.0000,0.2185,0.0254,-1.1428,-6.0153,-1.2824,3.8244
252.0000,0.2266,0.0347,-1.1462,-5.6565,-0.6107,4.9237
240.0000,0.2214,0.0381,-1.1411,-5.6565,0.1145,6.0229
252.0000,0.2244,0.0310,-1.1367,-5.8397,1.1832,6.9466
263.0000,0.2129,0.0317,-1.1399,-6.3969,1.8550,7.9847
254.0000,0.2070,0.0356,-1.1409,-6.6718,2.5496,8.8779
244.0000,0.2100,0.0437,-1.1348,-7.2443,3.1374,10.1374
290.0000,0.2136,0.0466,-1.1401,-7.5344,3.2290,12.1069
243.0000,0.2131,0.0522,-1.1411,-6.9313,3.4656,14.0687
260.0000,0.2117,0.0662,-1.1455,-5.4580,3.8626,16.1756
256.0000,0.2090,0.0757,-1.1360,-3.6031,4.2748,18.0153
262.0000,0.2153,0.0798,-1.1426,-2.0076,5.0305,20.4046
275.0000,0.2029,0.0850,-1.1284,-0.4275,6.3740,23.0611
273.0000,0.1951,0.0867,-1.1277,0.6336,8.2748,25.4809
274.0000,0.1936,0.0969,-1.1477,1.2519,9.9847,27.8550
274.0000,0.1943,0.0999,-1.1514,1.3817,11.4962,30.0000
267.0000,0.1936,0.0974,-1.1516,1.3282,12.6031,32.4580
255.0000,0.1904,0.1096,-1.1428,0.8397,12.8931,34.6794
282.0000,0.1841,0.1191,-1.1423,0.3740,13.2977,37.4962
242.0000,0.1873,0.1150,-1.1396,0.6489,14.7786,39.7863
282.0000,0.1897,0.1252,-1.1533,1.2595,16.9008,42.0458
284.0000,0.1819,0.1226,-1.1526,1.9008,20.0153,44.4809
286.0000,0.1851,0.1296,-1.1450,1.2366,23.2137,47.5038
264.0000,0.1882,0.1162,-1.1575,-0.2061,25.1221,50.7710
273.0000,0.1926,0.1006,-1.1646,-1.3359,27.2519,53.7481
272.0000,0.1965,0.0979,-1.1582,-1.9160,29.7481,56.5878
278.0000,0.1946,0.0801,-1.1748,-2.7252,31.8397,59.5802
303.0000,0.2019,0.0781,-1.1863,-3.2519,32.6718,62.2595
294.0000,0.2068,0.0779,-1.1731,-3.0458,32.0305,65.5267
282.0000,0.2090,0.0728,-1.1721,-10.2748,33.4656,68.8397
297.0000,0.2085,0.0798,-1.1626,-11.4962,34.9084,72.7786
296.0000,0.2109,0.0979,-1.1560,-16.8550,33.8931,76.7328
288.0000,0.2253,0.1204,-1.1387,-19.3664,34.2824,81.4962
291.0000,0.2292,0.1394,-1.1377,-19.5191,32.4427,85.7710
314.0000,0.2124,0.1460,-1.1267,-16.4351,31.1221,89.7710
273.0000,0.2007,0.1519,-1.1040,-14.0153,31.7710,92.7252
301.0000,0.2117,0.1655,-1.0896,-11.0611,35.9084,94.1069
279.0000,0.2380,0.1655,-1.1189,-9.9008,38.8855,94.6260
287.0000,0.2439,0.1570,-1.1360,-10.1679,37.7557,95.9924
313.0000,0.2422,0.1560,-1.1487,-13.2672,35.0382,98.2290
305.0000,0.2310,0.1526,-1.1406,-16.4427,32.7863,100.5191
292.0000,0.2285,0.1396,-1.1418,-18.7481,32.8168,102.2595
296.0000,0.2332,0.1233,-1.1155,-21.0840,37.5496,102.4580
308.0000,0.2388,0.0894,-1.1338,-24.0992,43.7252,103.9466
304.0000,0.2507,0.0498,-1.1484,-29.1374,45.7252,105.7710
308.0000,0.2644,0.0056,-1.1731,-36.1298,44.2061,105.9771
315.0000,0.2766,-0.0122,-1.1641,-42.0305,41.5802,108.2519
304.0000,0.2869,-0.0291,-1.1492,-44.7557,38.8321,111.1679
301.0000,0.2849,-0.0369,-1.1343,-44.0000,36.5649,114.7176
304.0000,0.2866,-0.0403,-1.1228,-40.7023,34.9771,118.6718
310.0000,0.2815,-0.0442,-1.1101,-36.9389,33.6870,122.7481
334.0000,0.2917,-0.0388,-1.1042,-33.1374,32.7481,126.0153
303.0000,0.3035,-0.0242,-1.0957,-30.5802,31.6183,128.9847
294.0000,0.2905,0.0027,-1.0825,-28.6260,28.6183,131.9847
342.0000,0.3010,0.0466,-1.0940,-26.9008,24.0611,134.9847
320.0000,0.2993,0.0806,-1.0957,-24.5649,18.2061,137.2824
323.0000,0.2898,0.1030,-1.0854,-21.2290,14.7328,138.7252
350.0000,0.2915,0.1047,-1.1116,-19.3893,15.7710,138.8702
310.0000,0.2925,0.1062,-1.1013,-18.9847,20.4504,137.3282
328.0000,0.2937,0.0669,-1.0935,-21.9466,25.4733,135.5191
343.0000,0.2769,0.0144,-1.1047,-28.3817,29.2672,133.0763
300.0000,0.2817,-0.0244,-1.1194,-36.3817,32.2214,130.6794
341.0000,0.2937,-0.0557,-1.1255,-42.8015,32.5115,128.9237
330.0000,0.3086,-0.0769,-1.1389,-47.9237,29.9008,128.1679
336.0000,0.3247,-0.0889,-1.1509,-52.5954,25.4962,130.3359
336.0000,0.3259,-0.0945,-1.1389,-54.0153,22.5267,134.0153
337.0000,0.3206,-0.1033,-1.1008,-53.0763,23.3893,137.4427
308.0000,0.3123,-0.0986,-1.0911,-50.5878,23.8397,139.8931
377.0000,0.3040,-0.0825,-1.0930,-47.6031,20.0305,142.5572
313.0000,0.2949,-0.0842,-1.0942,-44.4504,16.0992,144.9695
360.0000,0.2844,-0.0610,-1.0959,-41.2672,16.0611,147.0763
312.0000,0.2917,-0.0486,-1.0852,-39.4351,15.1679,147.9313
358.0000,0.2903,-0.0330,-1.0894,-41.1756,11.7252,148.2824
328.0000,0.2883,-0.0015,-1.1018,-45.1298,7.3511,148.5114
359.0000,0.2932,0.0022,-1.1084,-48.2061,4.3130,149.0153
346.0000,0.2803,0.0051,-1.1208,-49.6641,1.6031,148.4504
318.0000,0.2686,0.0076,-1.1064,-45.1603,1.8855,146.0992
343.0000,0.2610,-0.0156,-1.1028,-48.7328,2.6947,144.4351
368.0000,0.2546,-0.0281,-1.0952,-50.5802,3.1069,142.8015
317.0000,0.2483,-0.0583,-1.1228,-51.6031,4.1985,141.4886
338.0000,0.2490,-0.0779,-1.1147,-53.0076,4.4198,140.0000
386.0000,0.2429,-0.1138,-1.1099,-51.6641,5.4504,139.5496
358.0000,0.2363,-0.1362,-1.1230,-58.0534,8.6260,140.9008
330.0000,0.2446,-0.1765,-1.1133,-52.7328,11.4580,141.1756
303.0000,0.2424,-0.1926,-1.1123,-43.7023,10.0840,140.4198
262.0000,0.2515,-0.2058,-1.1216,-43.3893,10.4962,142.1985
330.0000,0.2581,-0.1924,-1.1396,-41.5344,9.2748,145.1832
401.0000,0.2651,-0.1780,-1.1274,-40.8321,5.1298,147.6717
361.0000,0.2590,-0.1626,-1.1318,-40.2137,1.0916,149.7176
370.0000,0.2444,-0.1204,-1.1101,-38.7405,-2.0153,150.6260
321.0000,0.2354,-0.0903,-1.0945,-34.1832,-2.3588,151.0382
341.0000,0.2288,-0.0583,-1.0986,-28.1069,-3.2214,150.5496
339.0000,0.2031,-0.0525,-1.1052,-21.8931,-2.1832,149.8321
344.0000,0.1890,-0.0693,-1.0898,-18.9084,2.9237,148.7099
284.0000,0.2017,-0.0942,-1.0774,-16.2519,11.5115,145.2214
363.0000,0.2058,-0.1238,-1.0618,-16.6794,17.0000,139.2214
381.0000,0.2065,-0.1677,-1.0859,-19.4733,18.0992,134.3359
320.0000,0.2043,-0.2058,-1.0945,-26.3740,16.8168,131.3359
379.0000,0.2178,-0.2263,-1.0835,-32.3206,16.6565,129.5191
393.0000,0.2214,-0.2354,-1.0845,-35.6489,18.3130,129.2214
382.0000,0.2307,-0.2371,-1.0764,-34.8397,21.2061,128.2443
393.0000,0.2393,-0.2371,-1.0835,-31.8779,21.5725,128.0840
383.0000,0.2424,-0.2493,-1.0671,-26.1527,21.0229,127.7405
355.0000,0.2388,-0.2603,-1.0710,-21.8550,20.7557,125.9389
363.0000,0.2485,-0.2527,-1.0806,-19.1756,17.4580,124.6718
